"col_3__fft_coefficient__coeff_24__attr_""imag""","col_2__fft_coefficient__coeff_54__attr_""imag""","col_1__fft_coefficient__coeff_57__attr_""abs""",col_4__index_mass_quantile__q_0.9,"col_4__fft_coefficient__coeff_62__attr_""imag""","col_1__fft_coefficient__coeff_41__attr_""real""",col_3__partial_autocorrelation__lag_7,"col_2__fft_coefficient__coeff_76__attr_""imag""","col_3__fft_coefficient__coeff_24__attr_""real""","col_2__fft_coefficient__coeff_94__attr_""real""","one_two_MEAN__fft_coefficient__coeff_94__attr_""real""","one_three_MEAN__fft_coefficient__coeff_36__attr_""abs""","total_STD_log__fft_coefficient__coeff_39__attr_""abs""","total_RANGE_log__fft_coefficient__coeff_39__attr_""abs"""
3.34E-05,-0.000221946,0.000242728,0.918301962,4.00E-05,-0.000141737,-0.084830133,-0.000116339,0.000199601,0.001184075,0.00089073,0.000534353,73.31342024,166.3078827
3.11E-05,-0.000614422,0.000364643,0.935923108,2.20E-05,-0.000272231,-0.112679009,-0.000891244,0.000209741,0.00115903,0.000874252,0.001095128,17.04860361,38.05513008
5.34E-05,-0.000407558,0.000218109,0.922974236,2.51E-05,-0.000120204,-0.124569631,-0.000576085,0.000308613,0.000908859,0.000700514,0.001019955,44.3881378,102.4002331
5.92E-06,-0.000399336,0.000269231,0.921906288,8.97E-05,-0.000205843,-0.084165778,-0.000555267,3.20E-05,0.001276002,0.001001129,0.00071425,25.50481816,63.96406591
2.33E-05,-0.000225899,0.000313788,0.926578561,8.32E-05,-0.000248987,-0.093883133,-0.000678051,0.000101725,0.00070953,0.000712489,0.00106142,48.63730274,107.704336
-2.20E-05,0.000239992,9.20E-05,0.892671205,-3.08E-05,-6.46E-05,-0.069470902,0.000636799,-0.000101712,0.000227881,0.000154264,5.83E-05,7.668710275,22.51165489
3.04E-07,0.000189205,5.47E-05,0.893872647,2.98E-05,9.92E-06,-0.088418903,0.00038857,5.67E-05,0.000176458,6.04E-05,0.000267396,38.86804339,81.81560705
-7.54E-07,-5.66E-05,8.98E-05,0.900814311,7.27E-06,-7.96E-05,-0.070271437,0.000167426,4.35E-05,0.000158094,7.39E-05,0.000267019,8.012457725,19.28234677
-1.21E-06,6.70E-05,0.000125614,0.895207582,-2.18E-06,-0.000151091,-0.090124114,0.000281686,2.32E-05,-1.76E-05,-4.39E-05,0.000373015,25.55550816,60.6993141
8.40E-06,-5.30E-05,6.56E-05,0.899212388,1.26E-05,-5.33E-05,-0.06498848,7.22E-05,7.72E-05,0.000156468,0.000156828,0.000263401,19.87266836,55.18945322
-3.27E-05,-8.67E-05,0.000105347,0.893872647,3.17E-06,9.97E-05,-0.049990523,0.000362757,-9.96E-05,-0.000717621,-0.000313454,0.000109911,47.6987111,108.9477229
-1.83E-05,-0.000670883,0.000280436,0.931651315,7.70E-05,-0.000214068,-0.054537078,-0.001812885,-3.48E-05,0.000532771,0.000733621,0.000569038,26.6211363,74.91879237
4.95E-05,-0.001133102,0.0001864,0.917100521,6.65E-05,-0.000438819,-0.065213622,-0.002149858,0.000400259,-0.000801539,0.000332569,0.000682058,31.35043614,83.90900307
5.59E-05,-0.001485675,0.000251806,0.918168469,0.00010481,-0.000250347,-0.070799165,-0.003471992,0.000289063,0.000977063,0.000693547,0.000838274,73.21997397,161.2264654
3.06E-06,-0.000139147,0.000117957,0.910025364,4.18E-05,6.66E-05,-0.054747138,0.000386676,5.38E-05,-0.001249046,-0.000420354,0.000159725,15.1963319,40.99964605
-2.51E-05,-0.000337452,4.80E-05,0.902549726,2.17E-05,0.00012819,-0.055088177,0.000229647,-0.000105206,-0.000982419,-0.000300363,8.19E-05,13.83101474,36.36104115
4.16E-05,-0.000150483,0.000205206,0.913629689,-7.62E-06,3.26E-05,-0.048037416,0.000373004,0.000274494,-0.000582933,-3.81E-05,0.000281099,18.28397518,42.5254986
